编号,品牌,商品名,类别,规格(g),能量(kJ/100g),能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水化合物(g/100g),糖(g/100g),钠(mg/100g),备注
291,西麦,燕麦片,谷物零食,500,1550,370,11.0,7.0,68.0,3.0,20,原味
292,阿一波,紫菜,海苔零食,5,1000,239,25.0,2.5,50.0,0,3000,干制
293,良品铺子,海苔脆,海苔零食,20,1750,418,8.0,24.0,55.0,5.0,1200,
294,光阴岛,海苔饼干,饼干,60,1900,454,6.0,20.0,68.0,10.0,800,
295,韩国,海苔,海苔零食,5,1800,430,26.0,30.0,35.0,0,3500,烤海苔
296,爽口,蜜饯九制梅,蜜饯,100,1100,263,2.5,0.5,62.0,38.0,3000,
297,盐津铺子,九制陈皮,蜜饯,100,1050,251,1.0,0.5,60.0,35.0,2000,
298,恒记,绿豆饼,糕点,100,1650,394,6.0,14.0,64.0,22.0,200,
299,冬梅,芝麻酱,调味/零食,200,2600,621,18.0,55.0,18.0,2.0,25,
300,南瓜子,内蒙奇峰,坚果/种子,100,2450,586,31.0,50.0,10.0,2.0,50,
301,波力,海苔,海苔零食,5,1800,430,26.0,30.0,35.0,0,3500,韩国进口
302,熊猫,饼干,饼干,50,1900,454,7.0,17.0,70.0,15.0,400,熊猫造型饼干
303,格力高,百醇饼干,饼干,48,2300,550,7.0,32.0,57.0,18.0,250,
304,格力高,大嘴刷刷,饼干,80,2050,490,7.0,22.0,66.0,20.0,350,
305,亿滋,奥利奥零食杯,饼干,20,2050,490,5.0,21.0,70.0,37.0,370,迷你装
306,李锦记,沙茶酱,调味/零食,210,1800,430,10.0,35.0,30.0,8.0,2000,
307,纯享,全脂希腊酸奶,酸奶,200,480,115,8.0,4.5,9.5,8.0,65,
308,卡士,法式厚乳酪,酸奶,300,500,120,5.0,5.0,13.5,11.0,80,
309,简爱,裸酸奶,酸奶,200,400,96,4.0,3.5,12.0,10.0,55,低糖
310,朴之源,无糖酸奶,酸奶,200,350,84,3.5,3.5,7.5,0,60,无糖
311,益可滋,乳酸菌牛奶,乳饮料,200,340,81,2.8,2.0,12.0,10.5,80,
312,新希望,燕麦牛奶,乳饮料,250,350,84,3.0,2.5,12.5,9.0,70,
313,蒙牛,早餐奶,乳饮料,250,310,74,3.0,2.0,11.0,8.0,100,
314,伊利,QQ星儿童牛奶,乳饮料,190,260,62,2.6,1.5,9.5,8.0,80,
315,大白兔,奶糖雪糕,冷饮,75,800,191,2.5,9.0,28.0,22.0,100,联名款
316,可爱多,绿豆味,冷饮,65,500,120,2.0,3.0,22.0,18.0,80,
317,美汁源,奶味浮冰,冷饮,80,600,143,2.0,4.5,24.0,20.0,90,
318,和路雪,千层雪,冷饮,62,1000,239,3.0,13.0,30.0,22.0,120,
319,必胜客,披萨,快餐,100,1050,251,10.0,8.0,34.0,3.0,600,参考值
320,麦当劳,薯条(大),快餐,154,1340,320,4.5,15.0,43.0,0.5,420,
321,汉堡王,薯条,快餐,116,1200,287,3.5,13.0,38.0,0.5,480,
322,德克士,薯条,快餐,120,1250,299,3.5,13.5,40.0,0.5,400,
323,炸鸡翅(KFC),劲辣鸡翅,快餐,73,1050,251,13.0,15.0,14.0,0.5,680,
324,奥尔良鸡腿堡,KFC,快餐,220,1100,263,12.0,11.0,28.0,2.0,730,
325,好丽友,蛋黄派草莓,蛋糕糕点,23,1850,442,3.5,21.0,61.0,28.0,250,草莓味
326,达利园,虎皮蛋糕卷,蛋糕糕点,45,1350,323,5.5,10.0,53.0,20.0,280,
327,盼盼,花生牛轧糖,糖果,100,1800,430,8.0,15.0,68.0,55.0,120,
328,金丝猴,奶糖,糖果,200,1680,401,4.0,8.5,76.0,68.0,100,
329,甜心,棉花糖,糖果,100,1380,330,2.0,0,78.0,65.0,50,低脂
330,卡迪那,墨西哥辣味薯片,薯片,60,2100,502,5.5,29.0,59.0,2.0,650,
331,乐事,鲜椒牛肉薯片,薯片,70,2200,526,5.5,33.0,54.0,2.5,720,
332,上好佳,牛扒味薯片,薯片,40,2050,490,5.0,25.0,63.0,2.0,600,
333,高新,辣椒土豆片,薯片,100,2000,478,4.5,23.0,64.0,2.0,700,
334,江南人家,茶香咸蛋黄薯片,薯片,55,2100,502,5.0,28.0,60.0,2.0,650,
335,薯片先生,芝士味,薯片,40,2200,526,5.5,33.0,54.5,2.0,500,
336,白菜哥,薯条,膨化食品,30,2050,490,4.5,26.0,62.0,1.5,480,
337,老式蛋黄饼,德辉,饼干,100,1900,454,8.0,18.0,68.0,10.0,450,
338,蛋白棒,迷客夏,蛋白零食,50,1550,370,25.0,12.0,35.0,15.0,200,功能零食
339,Keep,蛋白棒,蛋白零食,50,1600,382,22.0,14.0,37.0,18.0,250,运动功能
340,汤达人,日式猪骨面,方便面,104,1820,435,9.0,18.0,62.0,2.0,1750,统一旗下
341,汤达人,日式海鲜面,方便面,108,1800,430,9.0,18.0,62.0,2.0,1700,
342,日清,鸡汁面,方便面,85,1950,466,8.5,20.5,62.0,2.0,1900,桶装
343,康师傅,泡面桶番茄,方便面,105,1900,454,9.0,19.0,63.0,3.0,1850,桶装
344,劲面王,老坛酸菜,方便面,130,1920,459,9.0,20.0,62.0,2.0,2100,
345,满汉大餐,麻辣锅牛肉面,方便面,200,1880,449,10.0,18.5,62.0,2.0,2400,大碗
346,麻辣香锅,统一麻辣烫,方便面,150,1860,445,9.5,18.5,63.0,2.5,2200,
347,劲面王,海鲜面,方便面,100,1900,454,9.0,19.5,62.0,2.0,1800,
348,宫殿,冬阴功面,方便面,85,1950,466,8.0,20.0,63.0,2.0,1750,泰式
349,三宝乐,拉面,方便面,100,1920,459,9.5,19.5,62.0,2.0,2000,
350,雅玛莎,炸酱面,方便面,140,1850,442,9.0,18.0,64.0,2.0,1900,
351,良品铺子,蟹黄味薯片,薯片,75,2150,514,5.0,30.0,58.0,2.0,550,
352,良品铺子,黑胡椒牛肉薯片,薯片,75,2150,514,5.5,30.0,58.0,2.0,650,
353,良品铺子,酸奶燕麦棒,谷物零食,25,1700,406,5.5,12.0,65.0,25.0,100,
354,良品铺子,海盐苏打饼,饼干,160,1820,435,8.0,13.0,73.0,2.0,700,
355,良品铺子,夏威夷果,坚果,36,2850,681,9.5,77.0,9.0,4.0,8,
356,百草味,开口松子,坚果,100,2900,693,17.0,72.0,9.0,3.0,50,
357,百草味,草莓奥利奥夹心,饼干,250,2100,502,5.0,22.0,70.0,39.0,350,
358,三只松鼠,蛋黄酥,糕点,65,2000,478,7.0,24.0,60.0,22.0,300,网红蛋黄酥
359,三只松鼠,麻辣牛肉干,肉干零食,30,1500,358,40.0,15.0,20.0,8.0,2000,
360,三只松鼠,鱿鱼丝,海鲜零食,30,1200,287,46.0,6.0,14.0,5.0,1600,
361,百年老字号,北京烤鸭,卤味,100,1300,311,17.5,20.0,5.0,2.0,650,
362,老北京,稻香村糖葫芦糕,糕点,80,1000,239,1.5,2.0,54.0,38.0,50,
363,无穷,鸡爪,卤味,30,600,143,15.0,5.5,9.5,4.0,600,泡椒型
364,无穷,鸭脖,卤味,100,900,215,15.0,13.0,10.0,5.0,1000,
365,无穷,猪皮,卤味,30,800,191,16.0,9.0,12.0,4.0,1100,
366,蜀道香,藕片,卤味,25,250,60,1.5,1.0,12.0,3.0,700,素食卤味
367,蜀道香,海带丝,卤味,25,180,43,2.5,0.5,8.0,2.0,800,素食卤味
368,香辣鸡爪,廖记,卤味,50,700,167,15.0,8.0,10.0,5.0,700,
369,泡椒凤爪,劲仔,卤味,25,600,143,13.0,5.0,10.0,4.0,600,
370,辣椒鸡爪,广珍,卤味,45,650,155,14.0,6.0,11.0,4.0,650,
371,阿尔卑斯,硬糖综合,糖果,100,1700,406,0,0,95.0,90.0,30,水果味
372,喜之郎,果冻布丁,果冻,500,240,57,0,0,13.0,11.0,20,荔枝味
373,喜之郎,可吸果冻,果冻,25,280,67,0.5,0,15.0,13.0,20,
374,旺旺,碎冰冰果冻,果冻,50,260,62,0.5,0,14.0,12.0,20,
375,果冻布丁,美心,果冻,100,250,60,0.5,0,13.5,11.0,25,
376,徐福记,布丁,果冻,100,300,72,2.0,2.0,13.0,11.0,80,鸡蛋布丁
377,盒马,大福麻薯,糕点,35,900,215,2.0,4.0,43.0,18.0,80,日式
378,盒马,草莓大福,糕点,40,900,215,2.0,4.5,43.0,18.0,70,
379,七度空间,酒心巧克力,巧克力,100,2400,574,5.0,40.0,50.0,42.0,50,
380,金帝,酒心巧克力,巧克力,100,2350,562,5.0,38.0,52.0,44.0,60,
381,老城隍庙,五香豆,豆类零食,100,1400,335,22.0,5.0,60.0,5.0,1500,上海特产
382,沙棘,乔山果干,蜜饯,100,1350,323,2.0,0.5,77.0,68.0,30,
383,草莓干,百草味,蜜饯,100,1400,335,2.0,1.0,79.0,68.0,40,
384,菠萝干,三只松鼠,蜜饯,100,1350,323,1.5,0.5,79.0,70.0,40,
385,奇异果干,百草味,蜜饯,100,1400,335,2.0,1.0,78.0,65.0,35,
386,猫山王榴莲干,百草味,蜜饯,100,1900,454,2.0,20.0,68.0,45.0,30,
387,椰蓉,来伊份,糕点/零食,100,2000,478,4.0,18.0,73.0,58.0,80,
388,新疆核桃,原味,坚果,100,2800,669,15.0,68.0,10.0,2.0,10,
389,新疆大枣,红枣干,蜜饯/干果,100,1200,287,2.0,0.4,72.0,60.0,10,
390,黑枸杞,原味,干果,100,1100,263,13.0,0.5,65.0,42.0,100,功能性
391,泡泡糖,大大卷,糖果,100,1650,394,1.0,2.0,84.0,70.0,50,口香糖类
392,爽歪歪,乳酸菌饮品,乳饮料,100,275,66,1.0,0.5,14.0,12.0,55,儿童饮料
393,旺旺,大白兔奶糖,糖果,22,1680,401,4.0,8.0,76.0,70.0,100,限定联名
394,良品铺子,坚果燕麦棒,谷物零食,35,1700,406,6.0,12.0,64.0,22.0,120,
395,华园,虾味条,膨化食品,30,2100,502,5.0,28.0,62.0,2.0,620,
396,奇多,奶酪味,膨化食品,80,2100,502,5.5,28.0,60.0,3.0,680,
397,可口可乐,奥利奥可乐,碳酸饮料/联名,330,180,43,0,0,10.6,10.6,12,限量联名
398,海牌,海苔酥,海苔零食,20,1900,454,7.5,25.0,57.0,4.0,1100,烤海苔酥
399,卡乐比,薯条三兄弟,薯片,50,2180,521,5.5,32.5,55.0,1.5,400,日本进口
400,维他命C,橙子软糖VC软糖,糖果,100,1380,330,3.0,0,78.0,70.0,35,维C补充
